downtime_duration_sec,is_burst
120.0,False
135.0,True
90.0,True
60.0,True
6405.0,False
120.0,True
150.0,True
60.0,True
75.0,True
105.0,True
90.0,True
60.0,True
3960.0,False
525.0,False
150.0,False
105.0,False
90.0,True
90.0,False
75.0,True
75.0,False
120.0,True
180.0,True
90.0,False
90.0,True
225.0,True
120.0,True
390.0,False
840.0,True
180.0,False
165.0,True
150.0,False
315.0,True
120.0,False
150.0,True
75.0,True
75.0,True
10065.0,True
60.0,True
105.0,False
105.0,True
180.0,True
135.0,True
885.0,True
105.0,True
135.0,True
165.0,True
120.0,True
1575.0,True
240.0,False
2340.0,True
60.0,True
75.0,True
45.0,True
74.0,True
135.0,True
255.0,False
105.0,True
135.0,False
339.0,False
6405.0,False
105.0,False
225.0,False
135.0,False
60.0,True
90.0,False
60.0,True
210.0,False
105.0,False
60.0,False
60.0,False
180.0,True
60.0,True
210.0,False
705.0,False
135.0,True
90.0,True
60.0,False
105.0,True
105.0,False
345.0,False
120.0,False
165.0,False
120.0,False
90.0,True
180.0,True
525.0,True
90.0,True
90.0,True
120.0,True
75.0,True
195.0,True
60.0,True
135.0,False
105.0,True
120.0,True
105.0,False
315.0,True
60.0,True
165.0,True
75.0,False
210.0,True
9517.0,False
91.0,True
90.0,True
103.0,False
60.0,True
225.0,True
300.0,True
60.0,True
90.0,False
690.0,False
120.0,False
945.0,False
90.0,False
90.0,False
195.0,True
135.0,False
75.0,False
90.0,False
60.0,False
360.0,False
60.0,True
630.0,True
10230.0,True
420.0,False
90.0,False
240.0,False
570.0,False
210.0,True
135.0,False
195.0,True
225.0,False
525.0,True
270.0,False
555.0,False
105.0,False
60.0,True
255.0,True
375.0,False
330.0,False
60.0,False
60.0,False
90.0,True
105.0,True
120.0,True
90.0,True
735.0,False
285.0,False
390.0,False
90.0,False
2340.0,False
120.0,False
9766.0,False
150.0,False
150.0,True
270.0,True
555.0,True
435.0,False
2727.0,True
75.0,True
296.0,True
285.0,False
180.0,True
165.0,True
60.0,True
270.0,True
720.0,True
150.0,False
105.0,False
270.0,True
105.0,True
360.0,True
60.0,True
6225.0,True
60.0,True
180.0,True
135.0,True
630.0,True
510.0,False
270.0,False
90.0,True
60.0,True
165.0,False
240.0,False
7093.0,True
135.0,True
1005.0,True
240.0,False
75.0,False
